y_obs,n_obs
-0.5468469813,-0.0614717189
-0.0054184568,0.1036205079
0.2407263257,0.2970443038
0.3429783497,0.5411642663
1.0275164815,0.6618924074
0.7134954206,0.2749636336
0.4917783054,0.1920552456
0.0742708821,0.1699860822
-0.0985342222,-0.0102450151
-0.0077257966,0.0089853413
-0.0190296433,-0.1923548401
-0.2052019937,-0.3514402820
-0.8972059479,-0.4392221444
-1.2548801751,-0.6598379652
-1.0925761908,-0.6687195504
-0.8741651194,-0.6239403818
-0.8027912303,-0.9312750752
-0.6304007106,-0.8229613633
-0.9152736318,-0.9918459493
-0.9398339296,-0.9716449908
-1.1333744068,-1.2046308687
-0.9809851824,-0.6778086737
-0.7301102434,-0.9251537667
-0.4719829750,-0.4193700130
0.0327135661,-0.1749956397
0.7272798540,0.0915987372
0.8570616257,0.5253606316
1.6670415194,0.8900287749
2.0632546856,1.2187726540
2.4550151422,1.5237635640
2.5807980306,1.9281967724
2.9025210386,2.1972240445
3.4055307424,2.5502701156
2.7875625977,2.3524481330
2.1409827130,1.9807216704
0.3578802931,1.6097934740
-2.7768962397,-0.1146955037
-2.7974932552,-0.8451836789
-2.4609001362,-1.1119734438
-2.0400141965,-1.1800524363
-1.6591809921,-1.0543889330
-0.7598922168,-0.6641627521
-0.3610512395,-0.4963791373
0.1696009897,-0.2442288882
1.0785573279,0.5092414222
1.0245129049,0.3534068564
0.9688434864,0.3750137181
0.5846277786,0.2470625418
0.2818678141,0.1175942550
-0.1827158213,-0.3395333390
-0.4616218077,-0.5109149100
-1.0413424224,-1.0570413670
-1.5117683193,-1.5137942594
-1.0280118545,-1.2267858747
-0.9949145864,-1.1036332471
-1.0295324073,-0.8938695340
-0.8033548360,-0.7525004230
-0.8587701900,-0.7841465909
-0.7275473758,-0.6479814488
-0.6729449925,-0.3868433740
-0.2416874711,-0.8549402749
-0.1817784040,-0.4786799222
-0.1623896962,-0.3382555483
-0.0819557413,-0.2389782619
0.0207119503,0.3692118927
-0.1996809196,0.4131392583
-0.1055026130,0.3240480202
0.2952042495,0.3677365083
0.6713662675,0.6821351090
0.9802881749,0.9711552707
1.3853997083,1.2070644361
1.8497403051,1.5035005738
1.5546001761,1.4072813981
1.7369162934,2.2060696667
1.6000525041,2.4704474787
1.8321959447,2.5642650653
2.3133227697,3.1333622014
2.3859384998,2.7385879210
2.4052017975,3.0215110002
1.9969164631,2.8009594927
-1.4737579764,-1.5810783529
-13.5808780733,-16.2094882790
-2.9388912052,-3.1746651960
-2.9970322133,-3.9687757903
-2.4860636317,-4.0726520271
-0.7518007252,-1.2025484671
0.6625623461,-0.0934354963
0.9618069513,0.2013437065
1.2953250369,0.9773600237
1.8100541286,1.2004985513
1.9265566115,1.0918613515
1.4484405115,1.1696065258
0.8372332883,1.6198861457
0.6317077403,1.3225022245
0.4098557930,1.2748094353
0.0184862739,0.9658594528
0.0549175614,1.0452893700
-0.1083842608,0.8207337417
0.0403457819,0.3689285988
-0.0200769008,0.4323086159
0.0874951199,-0.1623071412
-0.2643851169,-0.5383412580
-0.3353944237,-0.6538880499
-0.4851110251,-0.7686107446
