Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
y,eps_z,1.26644086346368,1.26644086346368,0,8,12.4499088782008,15.1081418035166
c,eps_z,0.235547501189032,0.303090182995019,8,28,5.64941438641691,9.42867939927121
n,eps_z,0.397672930542803,0.397672930542803,0,4,0.575540052683476,-1.87460849751293
k,eps_z,0.115541409718434,0.646704367682016,14,NaN,10.5556784655281,20.0796404253686
invest,eps_z,4.62165638873653,4.62165638873653,0,6,34.5832599437468,33.5929057289348
w,eps_z,0.868767932920878,0.868767932920878,0,17,11.8743688255173,16.9827503010295
y,eps_phi,-0.475556741103262,-0.475556741103262,0,2,-1.11825629778565,-1.2042864586798
c,eps_phi,-0.0279921898004964,-0.032399949686196,2,19,-0.507559836553995,-0.739986831242867
n,eps_phi,-0.709786180751126,-0.709786180751126,0,1,-1.05156735866452,-0.862156398096126
k,eps_phi,-0.0483057678847931,-0.0826042745527555,3,19,-1.29996043817977,-1.91932699220247
invest,eps_phi,-1.93223071539232,-1.93223071539232,0,1,-3.10587046132289,-2.71542754791674
w,eps_phi,0.234229439647871,0.234229439647871,0,1,-0.0666889391211511,-0.342130060583679
