Row,ProductivityShockPercent,LabourShockPercent,GovernmentShockPercent
y,91.1081079991254,8.68987199809617,0.202020002778417
c,95.2235245168597,1.3642630014841,3.4122124816562
n,28.5174112214644,69.8844443268853,1.59814445165028
k,94.7536390667373,4.24208627508355,1.00427465817919
invest,88.6634889822716,10.3967846286666,0.939726389061748
w,95.3364813012849,4.53627081655364,0.127247882161427
g,0,0,100
tax,0,0,100
z,100,1.26101081599525e-32,7.73587183036508e-30
phi_t,0,100,3.14728936072571e-33
