Parameter,ParameterValue,Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
varphi,0.5,y,eps_z,1.4182227565634,1.4182227565634,0,8,13.0405748136389,15.0848314746643
varphi,0.5,c,eps_z,0.240951576158493,0.312030478348707,8,25,5.76096756611428,9.33163476878082
varphi,0.5,n,eps_z,0.624213069497603,0.624213069497603,0,4,1.01242645427351,-2.38562537526497
varphi,0.5,k,eps_z,0.131246236661609,0.697629528002031,13,25,11.4897418007545,21.0277668951432
varphi,0.5,invest,eps_z,5.24984946646403,5.24984946646403,0,6,36.7332787814776,33.8095760640915
varphi,0.5,w,eps_z,0.794009687065789,0.794009687065789,0,21,12.0281483593653,17.4704568499292
varphi,1,y,eps_z,1.26644086346368,1.26644086346368,0,8,12.4499088782008,15.1081418035166
varphi,1,c,eps_z,0.235547501189032,0.303090182995019,8,28,5.64941438641691,9.42867939927121
varphi,1,n,eps_z,0.397672930542803,0.397672930542803,0,4,0.575540052683476,-1.87460849751293
varphi,1,k,eps_z,0.115541409718434,0.646704367682016,14,NaN,10.5556784655281,20.0796404253686
varphi,1,invest,eps_z,4.62165638873653,4.62165638873653,0,6,34.5832599437468,33.5929057289348
varphi,1,w,eps_z,0.868767932920878,0.868767932920878,0,17,11.8743688255173,16.9827503010295
varphi,2,y,eps_z,1.15337516847544,1.15337516847544,0,9,12.0096738967655,15.2236738899815
varphi,2,c,eps_z,0.233310341382253,0.298487990022211,9,30,5.60469274371187,9.60612894450563
varphi,2,n,eps_z,0.228918161903646,0.228918161903646,0,4,0.266762803113951,-1.32952799967656
varphi,2,k,eps_z,0.10369701547206,0.608274966666711,15,NaN,9.82303531441207,19.3398238874722
varphi,2,invest,eps_z,4.14788061888312,4.14788061888312,0,6,32.8557603982714,33.5069170504482
varphi,2,w,eps_z,0.924457006571799,0.924457006571799,0,14,11.7429110936516,16.5532018896581
varphi,5,y,eps_z,1.0669030939226,1.0669030939226,0,10,11.694955746017,15.4398524147495
varphi,5,c,eps_z,0.233885454770572,0.297655238035427,9,NaN,5.62150255655919,9.87199509525296
varphi,5,n,eps_z,0.0998553640635835,0.0998553640635835,0,3,0.0753251054831372,-0.717356295959393
varphi,5,k,eps_z,0.094452471418327,0.579063068036501,16,NaN,9.23730256760784,18.7680729967991
varphi,5,invest,eps_z,3.77809885673359,3.77809885673359,0,7,31.4620288294285,33.56137885436
varphi,5,w,eps_z,0.967047729859016,0.967047729859016,0,12,11.6196306405339,16.1572087107089
