Parameter,ParameterValue,Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
rho_phi,0.5,y,eps_phi,-0.475556741103262,-0.475556741103262,0,2,-1.11825629778565,-1.2042864586798
rho_phi,0.5,c,eps_phi,-0.0279921898004964,-0.032399949686196,2,19,-0.507559836553995,-0.739986831242867
rho_phi,0.5,n,eps_phi,-0.709786180751126,-0.709786180751126,0,1,-1.05156735866452,-0.862156398096126
rho_phi,0.5,k,eps_phi,-0.0483057678847931,-0.0826042745527555,3,19,-1.29996043817977,-1.91932699220247
rho_phi,0.5,invest,eps_phi,-1.93223071539232,-1.93223071539232,0,1,-3.10587046132289,-2.71542754791674
rho_phi,0.5,w,eps_phi,0.234229439647871,0.234229439647871,0,1,-0.0666889391211511,-0.342130060583679
rho_phi,0.7,y,eps_phi,-0.464467228606511,-0.464467228606511,0,3,-1.79850023723974,-1.9453697968962
rho_phi,0.7,c,eps_phi,-0.0389989447412975,-0.0483751949860278,4,20,-0.809406376480215,-1.20297548117766
rho_phi,0.7,n,eps_phi,-0.693234669561948,-0.693234669561948,0,2,-1.75518053770138,-1.43637502280285
rho_phi,0.7,k,eps_phi,-0.046230629768873,-0.118905667146407,6,20,-1.96473285229901,-3.0133542618866
rho_phi,0.7,invest,eps_phi,-1.8492251907549,-1.8492251907549,0,2,-5.01767226707026,-4.36161673874973
rho_phi,0.7,w,eps_phi,0.228767440955446,0.228767440955446,0,2,-0.04331969953838,-0.508994774093374
rho_phi,0.9,y,eps_phi,-0.424257689260331,-0.424257689260331,0,8,-4.17071947419725,-5.06122750417801
rho_phi,0.9,c,eps_phi,-0.0789084128983264,-0.101535211303333,8,28,-1.89255381944967,-3.15860759875583
rho_phi,0.9,n,eps_phi,-0.63322043173184,-0.63322043173184,0,6,-4.58492264469608,-4.29810173862595
rho_phi,0.9,k,eps_phi,-0.038706372255648,-0.216645963173479,14,NaN,-3.53615228595179,-6.72667954249841
rho_phi,0.9,invest,eps_phi,-1.54825489022672,-1.54825489022672,0,6,-11.5853920811551,-11.2536234191931
rho_phi,0.9,w,eps_phi,0.208962742471508,0.208962742471508,0,4,0.414203170498895,-0.763125765551986
rho_phi,0.98,y,eps_phi,-0.345909632983819,-0.345909632983819,0,NaN,-6.1765025805858,-10.8033199413592
rho_phi,0.98,c,eps_phi,-0.156671782187701,-0.20225036766327,19,NaN,-3.75913837190752,-7.62863926901512
rho_phi,0.98,n,eps_phi,-0.516283034304199,-0.516283034304199,0,21,-7.63891362450795,-11.6305106028906
rho_phi,0.98,k,eps_phi,-0.0240453997434553,-0.304248426063491,33,NaN,-3.47828638768539,-9.42417170849601
rho_phi,0.98,invest,eps_phi,-0.961815989737747,-0.961815989737747,0,20,-14.0442202514999,-21.135851189916
rho_phi,0.98,w,eps_phi,0.170373401320389,0.170373401320389,0,8,1.46241104392222,0.827190661531463
