Parameter,ParameterValue,Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
sigma,1,y,eps_z,1.36187472395609,1.36187472395609,0,9,14.1523433210124,17.5918792315277
sigma,1,c,eps_z,0.281651667370753,0.441424059260648,9,26,8.03807823152901,13.3838792392944
sigma,1,n,eps_z,0.540111528292675,0.540111528292675,0,5,3.05713254474167,2.10399999611652
sigma,1,k,eps_z,0.121941050534424,0.647059073442113,13,25,10.6598979135423,19.4844845936725
sigma,1,invest,eps_z,4.8776420213763,4.8776420213763,0,6,34.052245585009,31.2875216917099
sigma,1,w,eps_z,0.821763195663416,0.821763195663416,0,16,11.0952107762707,15.487879235411
sigma,2,y,eps_z,1.26644086346368,1.26644086346368,0,8,12.4499088782008,15.1081418035166
sigma,2,c,eps_z,0.235547501189032,0.303090182995019,8,28,5.64941438641691,9.42867939927121
sigma,2,n,eps_z,0.397672930542803,0.397672930542803,0,4,0.575540052683476,-1.87460849751293
sigma,2,k,eps_z,0.115541409718434,0.646704367682016,14,NaN,10.5556784655281,20.0796404253686
sigma,2,invest,eps_z,4.62165638873653,4.62165638873653,0,6,34.5832599437468,33.5929057289348
sigma,2,w,eps_z,0.868767932920878,0.868767932920878,0,17,11.8743688255173,16.9827503010295
sigma,5,y,eps_z,1.15673572004427,1.15673572004427,0,7,10.5548601586003,12.2015165211561
sigma,5,c,eps_z,0.137773579803324,0.159574786993616,7,30,3.00520528629385,5.0270183810726
sigma,5,n,eps_z,0.233933910513828,-0.244821360102865,19,NaN,-2.23558313643444,-6.46678769210345
sigma,5,k,eps_z,0.1118279770016,0.65108794310853,14,NaN,10.534997503979,20.6312918484892
sigma,5,invest,eps_z,4.47311908006325,4.47311908006325,0,6,35.1264794598658,35.5521252519512
sigma,5,w,eps_z,0.922801809530438,0.922801809530438,0,17,12.7904432950347,18.6683042132596
sigma,10,y,eps_z,1.10122284079701,1.10122284079701,0,7,9.60593321089285,10.7100143108159
sigma,10,c,eps_z,0.0799065107074615,0.0895748786981621,7,31,1.69083474594238,2.83124143464973
sigma,10,n,eps_z,0.15107886686121,-0.303473558046652,18,NaN,-3.6512071242655,-8.80120001784073
sigma,10,k,eps_z,0.110631707673159,0.654062872826833,15,NaN,10.5396534988722,20.8656730349236
sigma,10,invest,eps_z,4.42526830692562,4.42526830692562,0,6,35.3669500391199,36.3528034116036
sigma,10,w,eps_z,0.950143973935802,0.950143973935802,0,18,13.2571403351584,19.5112143286567
